"Player,Runs_bat,4s_bat,6s_bat,Strike Rate_x,Wickets,Maidens,Overs,Economy,Dots,Fielder_Catch,Fielder_Stumping,Fielder_Runout,Fantasy_Points,Player_Role"
"aaron finch,86.0,10.0,3.0,109.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,Batsman"
"abdul basith,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Batsman"
"abdul samad,577.0,37.0,36.0,129.245,2.0,0.0,8.0,1.01875,10.0,0.0,0.0,0.0,736.0,Batsman"
"abhijeet tomar,4.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Batsman"
"abhinav manohar,231.0,21.0,10.0,108.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,Batsman"
"abhishek sharma,1305.0,124.0,68.0,132.35736842105263,8.0,0.0,35.0,3.1080701754385966,64.0,0.0,0.0,0.0,1765.0,Batsman"
"abishek porel,325.0,36.0,13.0,155.18727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,Batsman"
"abishek porel â€ ,35.0,1.0,2.0,84.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,Batsman"
"adam milne,16.0,0.0,1.0,40.0,2.0,0.0,12.3,6.702,33.0,0.0,0.0,0.0,68.0,Unknown"
"adam zampa,10.0,0.0,0.0,23.455555555555556,8.0,0.0,29.0,7.906666666666666,50.0,0.0,0.0,0.0,210.0,Bowler"
"adil rashid,22.0,2.0,1.0,90.59666666666668,2.0,0.0,10.0,9.19,20.0,0.0,0.0,0.0,76.0,Allrounder"
"aiden markram,747.0,55.0,27.0,95.43555555555555,2.0,0.0,19.1,3.138888888888889,29.0,0.0,0.0,0.0,906.0,Batsman"
"aiden markram (c),248.0,18.0,8.0,112.12615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,Batsman"
"ajinkya rahane,822.0,74.0,29.0,110.62820512820512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.0,Batsman"
"akash deep,2.0,0.0,0.0,12.5,7.0,1.0,26.8,11.9075,57.0,0.0,0.0,0.0,189.0,Bowler"
"akash madhwal,4.0,0.0,0.0,6.666666666666667,19.0,0.0,41.4,9.383333333333333,88.0,0.0,0.0,0.0,479.0,Bowler"
"akash singh,0.0,0.0,0.0,0.0,4.0,0.0,20.0,10.053333333333333,44.0,0.0,0.0,0.0,100.0,Unknown"
"akeal hosein,16.0,1.0,1.0,160.0,1.0,0.0,4.0,10.0,6.0,0.0,0.0,0.0,44.0,Allrounder"
"alex carey â€ ,32.0,0.0,1.0,106.79333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,Batsman"
"alzarri joseph,12.0,1.0,0.0,13.240555555555554,14.0,0.0,59.4,9.505555555555555,138.0,0.0,0.0,0.0,363.0,Bowler"
"aman khan,115.0,8.0,6.0,107.58699999999999,0.0,0.0,1.0,1.3,1.0,0.0,0.0,0.0,135.0,Batsman"
"ambati rayudu,1048.0,81.0,53.0,116.54042553191489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1235.0,Batsman"
"amit mishra,19.0,2.0,0.0,4.871538461538462,13.0,0.0,37.0,7.1923076923076925,71.0,0.0,0.0,0.0,346.0,Bowler"
"andre russell,1084.0,74.0,89.0,121.0255737704918,54.0,0.0,93.4,7.885573770491803,199.0,0.0,0.0,0.0,2686.0,Batsman"
"andrew tye,6.0,0.0,1.0,25.0,3.0,0.0,15.0,10.395,29.0,0.0,0.0,0.0,83.0,Unknown"
"angkrish raghuvanshi,163.0,16.0,8.0,147.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,Batsman"
"ankit rajpoot,9.0,0.0,1.0,36.0,1.0,0.0,13.0,11.55,27.0,0.0,0.0,0.0,36.0,Unknown"
"anmolpreet singh,108.0,16.0,2.0,102.31125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,Batsman"
"anmolpreet singh â€ ,31.0,3.0,1.0,119.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,Batsman"
"anrich nortje,49.0,6.0,0.0,29.013720930232555,53.0,1.0,155.0,8.856511627906976,376.0,0.0,0.0,0.0,1392.0,Bowler"
"anshul kamboj,2.0,0.0,0.0,33.333333333333336,2.0,0.0,10.0,11.5,20.0,0.0,0.0,0.0,52.0,Allrounder"
"anuj rawat,25.0,5.0,0.0,89.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,Batsman"
"anuj rawat â€ ,73.0,5.0,3.0,105.7375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,Batsman"
"anukul roy,26.0,3.0,0.0,51.74555555555556,4.0,0.0,20.4,9.023333333333333,44.0,0.0,0.0,0.0,129.0,Unknown"
